name,birthday,nationality
Meryl Streep,22/06/1949,USA
Denzel Washington,28/12/1954,USA
Tom Hanks,09/07/1956,USA
Nicole Kidman,20/06/1967,USA
Leonardo DiCaprio,11/11/1974,USA
Angelina Jolie,04/06/1975,USA
Brad Pitt,18/12/1963,USA
Scarlett Johansson,22/11/1984,USA
Robert De Niro,17/08/1943,USA
Jack Nicholson,22/04/1937,USA
Morgan Freeman,01/06/1937,USA
Samuel L. Jackson,21/12/1948,USA
Natalie Portman,09/06/1981,USA
Ryan Gosling,12/11/1980,USA
Emma Stone,06/11/1988,USA
Joaquin Phoenix,28/10/1974,USA
Cate Blanchett,14/05/1969,USA
Viola Davis,11/08/1965,USA
Will Smith,25/09/1968,USA
Sandra Bullock,26/07/1964,USA
